Module,Part,Question,Qn,section,module,C_N,Score,Description,Comment
One, Governance,"Q1. Is the organization legally constituted, registered?",1,1,1,1_1_1,5,Legally constituted with valid operating license,"Yes, they have a deed of trust through the deed’s registry, it does not expire. They also have a tax clearance certificate that is renewed every year"
One, Governance,Q2. Does the organization have a board of governors with diverse expertise?,2,1,1,1_1_2,3,"Board exists, with full membership but no diverse in expertise","Yes, they have a board of trustees.
Its fully constituted with 7 members. They are still in discussion about adding more members.

They have a chairperson, deputy, beneficiary rep, Lineo and 2 members from health and one from ministry of social development (because of the OVC program that they had just started)

They decided in 2019 that they wanted a youth representative so they advertised for the young people who access their services .The board selected a young member who has been on the board since 2019"
One, Governance,Q3. Does the organization have a defined process and criteria for selecting and vetting board members? Describe the process,3,1,1,1_1_3,2,Criteria and process for selecting and vetting board members exists but not documented ,"They have a written board constitution, but it does not have a process for selecting board members formally written; MOU with MOH has a clause that says that government should have at least 2 members on the board of trustees. They ask for nominees

They feel that the board does meet their current needs. Within the last 1-2 months they have been discussing some emerging needs identified by the board to see if they can get people with certain expertise such as legal also fund raising and resource mobilization background

They have heavy finance and planning skill set on the current board "
One, Governance,Q4. Does the board meet regularly with an agenda and meeting minutes?,4,1,1,1_1_4,5,"Board meets regularly as per schedule, with a clear agenda relevant to board roles, and minutes","Quarterly, there is a clear agenda and minutes. They are kept by Lineo and the executive secretary"
One, Governance,"Q5. Does the organization have a defined mission, vision, core values that are used to set strategic priorities? Are these reviewed regularly?",5,1,1,1_1_5,4,"The vision and/or mission is
-	A clear, specific statement of what the organization aspires to become or achieve.
-	Well-known to most but not all staff.
Sometimes used to direct actions and to set priorities","Yes, their mission and vision have just been reviewed. In 2018, there was an active strategic plan that was just about the expire, they were also just starting their journey as their PEPFAR prime IP. They were very focused on scaling up as a pepfar IP – given this, they decided to work under the expired plan while they scaled up – this has taken them a while, and have just now in 2024 finally completed their strategic plan (2024 – 2029) which has not yet been fully approved by board (in upcoming meeting). Its on paper and was prepared by SMT, it includes strategic direction, mission and vision"
One, Governance,"Q6. Does the board perform the following key functions:
    1. Compliance, legal and ethical integrity
    2. Financial oversight and accountability
Adequate resources to drive strategy",6,1,1,1_1_6,3,The board performs 2 out of the 3 stated key functions,"Yes, through the quarterly meetings there is a report provided to the board on their project and new partnerships and the board members. Before they pursue any NOFOs there is a board committee that meets to review the NOFOs and the board provides a go/no decision 

Yes, they review and approve the consolidated budget every year which the SMT presents to the board. They also provide a finance report of the overall budget to actuals 

Statutory audits happen every year as mandated by MOU with Ministry – the board signs off on the start of the audit and they also review the final report. They also have the annual USG audits and the board approves the selection of the auditor"
One, Governance,"Q7. Does the board establish and maintain collaborative, effective relationships with key partners, donors, stakeholders and the public? How?",7,1,1,1_1_7,2,"The board establishes and maintains collaborative, effective relationships with a few key partners, donors, and stakeholders  ","Board chair is based in Houston – occasionally he may come to the country and meet with the MOH. 

They maintain open communication through this existing MOH members within the board "
One,Organization Leadership,Q1. Mission and vision,1,2,1,1_2_1,4,Organizational decisions are reflective of the mission and vision of the organization,"Yes though have been using the older one from 2018. They share it during staff meetings, and it is printed and available, but not all staff may be fully aware of it  or able to articulate it"
One,Organization Leadership,Q2. Strategic leadership,2,2,1,1_2_2,1,The board does not evaluate its performance on a regular basis.,"Not in a formal way yet; They have informally talked about, but still have some urgent priorities such as setting up other sub-committees as they only have one"
One,Organization Leadership,Q3. Performance evaluation and use of results,3,2,1,1_2_3,2,"The board rarely updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications","The evaluation results are utilized more by the SMT – board does not really play a role in this. Some of the inputs do come from the board level, but the majority of it is coming from observations from the CMT
The board does have an opportunity to provide strengthening inputs thought it is not so formal – they bring their expertise and knowledge – they also provide direct inputs in the draft policies"
One,Organization Leadership,Q4. Board composition and qualification,4,2,1,1_2_4,4,The board has the right mix of skills and expertise to govern the organization and routinely consider diverse points of view from internal and external stakeholders and the composition of our board does reflect the community we serve.,"See above – have MOH and community representation, but not a diverse technical mix eg legal or other areas"
One,Organization Leadership,Q5. Strategic planning and monitoring,5,2,1,1_2_5,3,"The organization has a written strategic plan that includes a clear, specific, and measurable set of goals and objectives to ensure success formally share progress on the strategic plan’s goals and objectives with board and staff members on a regular basis.","See above (need to validate and verify new strategic plan)

They have a set of policies and written SOPs for each policy that are reviewed and updated by the SMT and don’t necessarily go to the board. The board just looks at the policies. "
One,Organization Leadership,Q6. Strategic planning and capacity to organizational priorities,6,2,1,1_2_6,5,"The organization has set priorities, there is clarity on how to make decisions when priorities come into conflict with each other, the organization has a history of meeting key program or organizational goals and benchmarks and our capacity is sufficient to achieve all the goals.",The resource and advisory committee which has Lineo and 2 members of the SMT and 3 board members – they help make decisions; They do look at opportunities to look at alignment with their strategies – they have a decision making too that has scores that helps them make decisions. The new strategic plan tries to be more specific to help guide future decision making. 
